subsecao,nome_subsecao,item,requisito,orientacoes,sugestao_evidencia
2.1,Jornada Do Paciente,11,"O laboratório deve participar de programas externos de avaliação da qualidade reconhecidos, abrangendo os diferentes tipos de exames e metodologias utilizadas.","Os programas externos de avaliação da qualidade devem considerar: Planejamento contínuo e documentado da participação nas rodadas de controle externo; avaliação sistemática dos resultados obtidos, comparando-os com os de outros participantes; identificação e investigação de desvios de desempenho (tendência, imprecisão ou inexatidão), com análise técnica e registro das ações corretivas; compartilhamento dos resultados com a equipe técnica, utilizando-os como ferramenta de educação e melhoria contínua; avaliação do impacto clínico de possíveis desvios nos resultados já liberados para pacientes, garantindo confiabilidade diagnóstica; análise periódica por dados, correlacionados às metas da instituição. A participação e análise crítica do controle externo são fundamentais para garantir comparabilidade, rastreabilidade e segurança dos resultados laboratoriais, fortalecendo a confiança dos usuários e profissionais de saúde.",Planejamento formal e cronograma de participação em programas externos de qualidade. Relatórios de desempenho das rodadas de programas externos de avaliação da qualidade com análises e conclusões. Registros de ações corretivas e investigações de desvios. Atas de reuniões de avaliação técnica dos resultados e ações educativas derivadas. Documentação de comunicação dos resultados à equipe técnica.
2.1,Jornada Do Paciente,12,"Estabelecer e implementar uma sistemática para a realização de testes laboratoriais remotos, assegurando a padronização, rastreabilidade e qualidade dos resultados obtidos fora do laboratório central.","Os testes laboratoriais remotos são análises realizadas fora do ambiente laboratorial central, em unidades assistenciais, domicílios ou outros locais, com uso de dispositivos portáteis (como glicosímetros, gasômetros, analisadores de eletrólitos, testes rápidos e outros). A sistemática deve contemplar: Verificação inicial e periódica de desempenho dos equipamentos, incluindo calibração, manutenção preventiva e validação de novos dispositivos; definição de procedimentos operacionais padronizados, com instruções claras para coleta, processamento e registro dos resultados; controles de qualidade internos e externos aplicáveis, assegurando precisão, exatidão e comparabilidade dos resultados; capacitação, certificação e supervisão dos profissionais que executam os testes (enfermeiros, técnicos de enfermagem, fisioterapeutas, médicos, entre outros), garantindo competência técnica e conhecimento sobre a interpretação dos resultados; rastreabilidade completa dos exames, incluindo identificação do paciente, operador, equipamento, lote de insumo e data/hora do teste; critérios de liberação e confirmação dos resultados críticos ou inconsistentes por metodologia alternativa no laboratório central; segurança e confidencialidade das informações, com registros integrais em sistemas compatíveis com o prontuário do paciente.","Relação formal dos testes laboratoriais remotos realizados pela instituição. Procedimentos operacionais padronizados para execução, registro e liberação dos testes remotos. Registros de capacitação, certificação e revalidação dos profissionais executores. Registros de calibração, validação e manutenção dos equipamentos utilizados. Relatórios de controle de qualidade (interno e externo) dos dispositivos portáteis. Rastreabilidade documentada dos exames realizados (paciente, operador, equipamento, resultado, data e local). Registros de análise e tratativa de resultados críticos ou divergentes."
2.1,Jornada Do Paciente,13,"Estabelecer e implementar critérios e procedimentos para avaliação da qualidade da água reagente, de acordo com as metodologias analíticas empregadas e os requisitos técnicos aplicáveis.","A instituição deve garantir que a qualidade da água utilizada nos processos laboratoriais (preparo de reagentes, soluções, controles, calibrações e lavagem de materiais) atenda aos padrões físico-químicos e microbiológicos adequados a cada metodologia analítica. A sistemática deve contemplar: Classificação e tipo de água reagente utilizada (exemplos: purificada, destilada, deionizada, ultrapura), conforme o uso e a necessidade analítica; parâmetros de controle físico-químico (condutividade, pH, resistividade, carbono orgânico total, entre outros), com limites definidos e baseados em evidências científicas ou referências normativas; parâmetros microbiológicos (contagem de unidades formadoras de colônias, endotoxinas, entre outros), com periodicidade e limites de aceitação estabelecidos; procedimentos de monitoramento e registro sistemático dos resultados, com rastreabilidade dos lotes de reagentes e equipamentos utilizados; planos de ação e medidas corretivas em casos de não conformidade, assegurando que nenhuma amostra ou reagente seja comprometido; revisão periódica e validação do sistema de purificação da água, incluindo manutenção preventiva e calibração dos dispositivos de monitoramento. A garantia da qualidade da água reagente é essencial para a confiabilidade analítica dos resultados laboratoriais, refletindo diretamente na segurança diagnóstica e no cuidado centrado no paciente.","Procedimento formalizado descrevendo a avaliação da qualidade da água reagente. Registros dos controles físico-químicos e microbiológicos realizados, com datas e responsáveis. Laudos analíticos de verificação da água (internos ou terceirizados). Registros de manutenção e calibração dos sistemas de purificação. Ações corretivas documentadas em casos de não conformidades detectadas. Evidências de revisão periódica dos critérios e parâmetros de controle."
2.1,Jornada Do Paciente,14,"Estabelecer, implementar e manter uma sistemática para a identificação, comunicação e acompanhamento dos resultados críticos, assegurando a rastreabilidade, a eficácia e a eficiência do processo.","A instituição deve dispor de um procedimento formal que defina com clareza: Quais resultados são considerados críticos, conforme parâmetros clínicos validados e acordados com a equipe médica e assistencial; fluxos e responsabilidades para a comunicação imediata dos resultados críticos, desde a identificação até a confirmação do recebimento pelo profissional responsável pelo paciente; formas de comunicação autorizadas (sistema informatizado, telefone, mensagem segura, entre outros), garantindo confidencialidade e integridade das informações; rastreabilidade completa da comunicação, incluindo data, hora, nome do profissional que comunicou, nome e função de quem recebeu e ação tomada; dados como tempo médio entre a liberação e a comunicação efetiva, percentual de comunicações dentro do prazo e taxa de confirmações recebidas; avaliação periódica da eficácia e eficiência do processo, incluindo auditorias, análise de não conformidades e implementação de ações corretivas e de melhoria contínua. A comunicação de resultados críticos deve priorizar a segurança do paciente, assegurando resposta clínica rápida e adequada, reduzindo o risco de eventos adversos graves relacionados à demora ou à falha na comunicação.","Procedimento formalizado definindo critérios, fluxos e responsabilidades na comunicação de resultados críticos. Listagem atualizada dos analitos e parâmetros considerados críticos, aprovada pela direção técnica. Registros de comunicação (sistema eletrônico ou planilha), contendo quem comunicou, quem recebeu, horário e conduta tomada. Dados do processo (tempo médio de comunicação, taxa de conformidade, efetividade das respostas). Relatórios de análise da eficácia e eficiência do processo, com planos de ação e melhorias implementadas. Registros de treinamento e capacitação da equipe técnica e assistencial. Evidências de redução de eventos adversos relacionados à falha na comunicação de resultados críticos."
2.1,Jornada Do Paciente,15,"Estabelecer, implementar e cumprir um procedimento formal para a comunicação de resultados laboratoriais relacionados a doenças de notificação compulsória, conforme regulamentação vigente.","A instituição deve possuir fluxo definido, documentado e atualizado para a notificação de doenças e agravos de notificação compulsória em conformidade com as determinações dos órgãos de vigilância em saúde municipais, estaduais e federais. O procedimento deve contemplar: Identificação dos exames e agentes que se enquadram em doenças de notificação compulsória; critérios de confirmação laboratorial e de notificação imediata, de acordo com os protocolos nacionais; fluxo de comunicação entre o laboratório, o serviço assistencial e os órgãos competentes; responsabilidades e prazos para envio das informações, incluindo definição de quem realiza, revisa e valida a notificação; registros e rastreabilidade das comunicações realizadas (data, hora, profissional responsável e canal de envio); confidencialidade e segurança dos dados, conforme a LGPD (Lei Geral de Proteção de Dados Pessoais) e demais legislações aplicáveis; monitoramento e revisão periódica do processo de notificação, com análise de não conformidades e ações corretivas. A comunicação tempestiva e precisa desses resultados é essencial para o controle epidemiológico, a segurança coletiva e o cuidado centrado no paciente e na comunidade.","Procedimento formalizado para emissão e registro de resultados parciais. Registros e logs de rastreamento das emissões e atualizações dos resultados. Evidências de conformidade com a política de segurança da informação e proteção de dados. Registros de comunicação verbal de resultados parciais, com data, hora, responsável e destinatário. Exemplos de resultados parciais de culturas microbiológicas emitidos e posteriormente atualizados com resultado. Treinamentos e instruções documentadas aos profissionais sobre os critérios e responsabilidades na emissão de resultados parciais."
2.1,Jornada Do Paciente,16,"Estabelecer, implementar e manter uma sistemática para a emissão de resultados parciais, assegurando a rastreabilidade, a segurança da informação e a comunicação adequada com a equipe assistencial.","A instituição deve dispor de procedimento formal que defina os critérios e fluxos para a emissão, registro e disponibilização de resultados parciais de exames laboratoriais, garantindo conformidade com a legislação vigente sobre proteção de dados e sigilo profissional. Devem ser definidos: Condições e tipos de exames que permitem emissão parcial de resultados (exemplos: culturas microbiológicas, exames de longa duração ou processos em etapas); critérios de validação e autorização para liberação dos resultados parciais, com identificação do profissional responsável; forma de registro e rastreabilidade das comunicações realizadas, inclusive verbais, assegurando a correta interpretação e uso clínico das informações; condições de atualização e substituição dos resultados parciais por resultados finais, garantindo consistência e integridade dos dados; mecanismos de segurança da informação, respeitando políticas institucionais de confidencialidade e acesso restrito aos dados do paciente. A emissão de resultados parciais deve priorizar a segurança do paciente, promovendo agilidade no cuidado clínico sem comprometer a confiabilidade diagnóstica.","Procedimento formalizado para emissão e registro de resultados parciais. Registros e logs de rastreamento das emissões e atualizações dos resultados. Evidências de conformidade com a política de segurança da informação e proteção de dados. Registros de comunicação verbal de resultados parciais, com data, hora, responsável e destinatário. Exemplos de resultados parciais de culturas microbiológicas emitidos e posteriormente atualizados com resultado. Treinamentos e instruções documentadas aos profissionais sobre os critérios e responsabilidades na emissão de resultados parciais."
2.1,Jornada Do Paciente,17,"A organização deve identificar, analisar e manter atualizados o perfil de pacientes e o perfil de atendimento do serviço, de forma a subsidiar o planejamento assistencial, a gestão de riscos e a melhoria contínua da qualidade e segurança nas atividades diagnósticas e terapêuticas.","O perfil de pacientes (ou de usuários) deve abranger o conjunto de características individuais das pessoas atendidas, incluindo dados clínicos relevantes, diagnósticos, comorbidades, histórico de uso de serviços e necessidades terapêuticas. O perfil de atendimento, por sua vez, deve descrever os tipos de procedimentos realizados (exames, terapias, intervenções), suas indicações clínicas, protocolos utilizados, frequência, resultados, tempo médio de execução e eventuais intercorrências. A análise integrada desses perfis permite à organização compreender o público atendido, antecipar riscos específicos, ajustar protocolos e fluxos de atendimento, planejar recursos humanos e tecnológicos, e aprimorar a segurança e a percepção do paciente.","Relatórios ou registros que descrevam o perfil de pacientes e o perfil de atendimento do serviço. Dados de volume, tipo e frequência de procedimentos realizados. Dados epidemiológicos, clínicos e demográficos dos pacientes atendidos. Atas ou relatórios de reuniões de análise desses perfis para planejamento de ações. Documentos que demonstrem a utilização das informações na revisão de protocolos, fluxos ou dimensionamento de recursos."
2.1,Jornada Do Paciente,18,"Planejar as atividades levando em conta as condições operacionais, físicas, logísticas e tecnológicas disponíveis, de forma a garantir a execução segura, contínua e eficiente dos processos diagnósticos e terapêuticos.","O planejamento das atividades do SADT (Serviço de Apoio Diagnóstico e Terapêutico) deve considerar a adequação e disponibilidade dos ambientes, equipamentos, insumos e sistemas de apoio necessários à realização dos procedimentos. Cabe ao serviço avaliar periodicamente as condições de infraestrutura e operação, reportando intercorrências aos setores responsáveis e ajustando sua programação quando houver restrições que possam comprometer a segurança, a qualidade dos resultados ou o bem-estar dos pacientes. Essa abordagem promove integração entre as áreas assistenciais e técnicas, reforçando a gestão de riscos e a continuidade do cuidado. Impacto na jornada: Previne falhas assistenciais, reduz cancelamentos e atrasos de procedimentos e assegura ambientes seguros, confortáveis e tecnicamente adequados para o atendimento de pacientes e equipes","Plano operacional do serviço, com definição de capacidade instalada e uso de recursos. Checklists de verificação de infraestrutura, equipamentos e condições de atendimento disponibilizado pelas áreas técnicas específicas. Registros ou atas de reuniões com outros processos. Planos de contingência diante de falhas estruturais ou tecnológicas. Relatórios de acompanhamento ou comunicação de intercorrências operacionais."
2.1,Jornada Do Paciente,19,"Dispor de método estruturado para o agendamento dos exames e procedimentos dos SADT (Serviços de Apoio Diagnóstico e Terapêutico), assegurando organização, previsibilidade e comunicação efetiva entre as partes envolvidas.","A organização deve definir, implementar e manter um sistema de agendamento padronizado, que contemple a programação adequada dos atendimentos, de acordo com a capacidade instalada, os recursos disponíveis e a complexidade dos exames e procedimentos. Esse processo deve garantir comunicação clara com os usuários internos e externos, permitindo o alinhamento de horários, preparo dos pacientes e disponibilidade dos profissionais e equipamentos. A sistemática deve incluir mecanismos para monitorar o cumprimento das agendas, identificar ocorrências como cancelamentos, reagendamentos e atrasos, e promover ajustes contínuos visando à eficiência e à satisfação dos usuários. O objetivo é assegurar previsibilidade operacional e qualidade assistencial, contribuindo para a segurança do paciente e o bom desempenho dos serviços. Impacto na jornada: Um processo de agendamento estruturado e eficiente reduz tempos de espera, evita duplicidade de atendimentos e melhora a previsibilidade da assistência, fortalecendo a confiança do paciente no serviço.","Procedimento ou fluxo documentado para o agendamento de exames e procedimentos. Agendas físicas ou eletrônicas disponíveis e atualizadas. Registros de comunicação com os usuários internos e externos sobre horários e preparos. Dados de taxa de ocupação, cancelamentos e atrasos. Registros de análises e ajustes realizados nas agendas em função da demanda ou desempenho do serviço."
2.1,Jornada Do Paciente,20,"Dispor de sistemáticas definidas para o atendimento e a priorização de demandas, com critérios claros que orientem a organização do fluxo de exames e terapias, considerando a urgência, o perfil do paciente e o impacto clínico do procedimento.","A definição de critérios de priorização deve abranger aspectos como: Gravidade e urgência clínica, condição e vulnerabilidade do paciente (exemplos: gestantes, idosos, pacientes críticos, com mobilidade reduzida ou risco de infecção), complexidade e impacto do exame ou terapia nos desfechos assistenciais, disponibilidade de recursos humanos, tecnológicos e de infraestrutura. Essas sistemáticas devem ser conhecidas e aplicadas pelas equipes responsáveis pelo agendamento, atendimento e execução dos procedimentos, integrando-se aos fluxos de gestão de acesso, segurança do paciente e continuidade do cuidado. A revisão periódica das filas, listas de espera e tempos de resposta deve fazer parte da rotina de monitoramento da qualidade. Impacto na jornada: Favorece o acesso oportuno, reduz esperas desnecessárias e garante atenção priorizada aos pacientes com maior risco clínico, promovendo equidade, eficiência e segurança assistencial.",Protocolos e fluxos de agendamento e priorização de exames e terapias. Listas de espera e registros de triagem com critérios de prioridade. Auditorias de tempo-resposta entre solicitação e realização do procedimento. Dados de acesso e atendimento oportuno. Registros de comunicação entre o SADT (Serviço de Apoio Diagnóstico e Terapêutico) e unidades solicitantes para definição de prioridades clínicas.
